abbreviate,shorten
abstinence,act of refraining from
adulation,high praise
amicable,agreeable
anonymous,nameless
antagonist,opponent
diligent,hard-working
emulate,follow an example
ephemeral,momentary fleeting
fortuitous,lucky
hackneyed,overused
incompatible,unable to work together
longevity,long life
mundane,ordinary
parched,dried up
precocious,talent beyond one's age
procrastinate,to delay unnecessarily
opulent,wealthy
rancorous,hateful
resilient,quick to recover
scrutinize,to observe carefully
superfluous,more than enough
surreptitious,secret and stealthy
vindicate,to clear of blame
wary,watchful and alert
tenacious,persistent and resolute
